date,Housing Inventory: Active Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,42224.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2016-08-01,40038.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2016-09-01,39473.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2016-10-01,39070.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2016-11-01,37684.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2016-12-01,34945.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-01-01,32001.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-02-01,31614.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-03-01,30289.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-04-01,30725.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-05-01,32540.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-06-01,33715.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-07-01,35046.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-08-01,42319.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-09-01,41215.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-10-01,39972.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-11-01,37910.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2017-12-01,34943.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-01-01,31596.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-02-01,30862.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-03-01,31786.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-04-01,33133.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-05-01,34798.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-06-01,36707.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-07-01,39645.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-08-01,40355.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-09-01,40907.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-10-01,43412.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-11-01,42799.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2018-12-01,41239.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-01-01,38751.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-02-01,38408.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-03-01,39965.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-04-01,42472.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-05-01,44114.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-06-01,45459.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-07-01,46695.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-08-01,46404.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-09-01,45741.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-10-01,45447.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-11-01,42567.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2019-12-01,39610.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-01-01,36029.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-02-01,34358.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-03-01,34219.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-04-01,37555.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-05-01,36728.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-06-01,32950.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-07-01,29473.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-08-01,27410.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-09-01,25550.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-10-01,24793.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-11-01,22636.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2020-12-01,20061.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-01-01,17249.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-02-01,14377.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-03-01,13694.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-04-01,13808.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-05-01,14138.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-06-01,15605.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-07-01,17254.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-08-01,18500.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-09-01,18409.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-10-01,18203.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2021-11-01,17333.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOU12060,Monthly,Not Seasonally Adjusted
2016-07-01,82988.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",ACTLISCOU35620,Monthly,Not Seasonally Adjusted
2016-08-01,80782.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",ACTLISCOU35620,Monthly,Not Seasonally Adjusted
2016-09-01,78791.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",ACTLISCOU35620,Monthly,Not Seasonally Adjusted
2016-10-01,77253.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",ACTLISCOU35620,Monthly,Not Seasonally Adjusted
2016-11-01,73287.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",ACTLISCOU35620,Monthly,Not Seasonally Adjusted
2016-12-01,65979.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",ACTLISCOU35620,Monthly,Not Seasonally Adjusted
2017-01-01,60777.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",ACTLISCOU35620,Monthly,Not Seasonally Adjusted
2017-02-01,63097.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",ACTLISCOU35620,Monthly,Not Seasonally Adjusted
2017-03-01,66269.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",ACTLISCOU35620,Monthly,Not Seasonally Adjusted
2017-04-01,69038.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",ACTLISCOU35620,Monthly,Not Seasonally Adjusted
