date,All Employees: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,47.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1991-01-01,47.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1992-01-01,47.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1993-01-01,48.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1994-01-01,49.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1995-01-01,48.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1996-01-01,46.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1997-01-01,44.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1998-01-01,44.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1999-01-01,44.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2000-01-01,46.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2001-01-01,47.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2002-01-01,48.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2003-01-01,47.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2004-01-01,46.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2005-01-01,46.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2006-01-01,45.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2007-01-01,45.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2008-01-01,46.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2009-01-01,48.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2010-01-01,49.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2011-01-01,46.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2012-01-01,45.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2013-01-01,45.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2014-01-01,44.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2015-01-01,45.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2016-01-01,46.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2017-01-01,47.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2018-01-01,46.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2019-01-01,47.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
2020-01-01,49.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1990-01-01,173.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1991-01-01,165.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1992-01-01,162.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1993-01-01,157.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1994-01-01,155.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1995-01-01,154.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1996-01-01,151.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1997-01-01,147.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1998-01-01,146.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1999-01-01,147.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2000-01-01,152.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2001-01-01,145.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2002-01-01,142.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2003-01-01,139.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2004-01-01,135.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2005-01-01,133.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2006-01-01,132.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2007-01-01,132.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2008-01-01,130.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2009-01-01,129.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2010-01-01,133.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2011-01-01,119.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2012-01-01,114.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2013-01-01,112.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2014-01-01,111.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2015-01-01,111.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2016-01-01,112.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2017-01-01,112.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2018-01-01,110.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2019-01-01,110.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
2020-01-01,115.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"All Employees: Federal Government in New York-Newark-Jersey City, NY-NJ-PA (MSA)",SMU36356209091000001A,Annual,Not Seasonally Adjusted
1990-01-01,3.5,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
1991-01-01,3.4,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
1992-01-01,3.4,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
1993-01-01,3.4,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
1994-01-01,3.3,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
1995-01-01,3.2,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
1996-01-01,3.1,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
1997-01-01,3.0,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
1998-01-01,3.0,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
1999-01-01,3.0,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2000-01-01,3.1,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2001-01-01,3.1,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2002-01-01,3.0,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2003-01-01,3.0,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2004-01-01,3.0,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2005-01-01,2.9,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2006-01-01,2.9,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2007-01-01,3.0,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2008-01-01,3.1,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2009-01-01,3.2,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2010-01-01,3.7,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2011-01-01,3.7,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2012-01-01,3.6,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2013-01-01,3.5,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2014-01-01,3.5,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2015-01-01,3.5,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2016-01-01,3.5,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2017-01-01,3.5,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2018-01-01,3.5,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2019-01-01,3.5,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
2020-01-01,3.4,KS,"Topeka, KS",Topeka,"All Employees: Federal Government in Topeka, KS (MSA)",SMU20458209091000001A,Annual,Not Seasonally Adjusted
1990-01-01,4.6,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
1991-01-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
1992-01-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
1993-01-01,4.8,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
1994-01-01,4.8,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
1995-01-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
1996-01-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
1997-01-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
1998-01-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
1999-01-01,5.0,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2000-01-01,5.1,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2001-01-01,5.0,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2002-01-01,5.0,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2003-01-01,5.0,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2004-01-01,4.8,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2005-01-01,4.8,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2006-01-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2007-01-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2008-01-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2009-01-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2010-01-01,5.1,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2011-01-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2012-01-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2013-01-01,4.5,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2014-01-01,4.6,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2015-01-01,4.6,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2016-01-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2017-01-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2018-01-01,4.7,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2019-01-01,4.9,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
2020-01-01,5.0,OK,"Tulsa, OK",Tulsa,"All Employees: Federal Government in Tulsa, OK (MSA)",SMU40461409091000001A,Annual,Not Seasonally Adjusted
