date,Per Capita Personal Income,state,msa,city,title,id,frequency,seasonal_adjustment
1969-01-01,3826,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1970-01-01,4133,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1971-01-01,4436,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1972-01-01,4910,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1973-01-01,5373,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1974-01-01,5764,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1975-01-01,6155,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1976-01-01,6737,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1977-01-01,7435,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1978-01-01,8282,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1979-01-01,9085,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1980-01-01,10100,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1981-01-01,11162,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1982-01-01,11848,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1983-01-01,12868,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1984-01-01,14366,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1985-01-01,15512,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1986-01-01,16558,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1987-01-01,17472,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1988-01-01,18673,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1989-01-01,19621,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1990-01-01,20628,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1991-01-01,20958,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1992-01-01,22164,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1993-01-01,23028,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1994-01-01,24059,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1995-01-01,25457,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1996-01-01,26983,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1997-01-01,28180,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1998-01-01,30507,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1999-01-01,31860,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2000-01-01,34017,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2001-01-01,34998,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2002-01-01,35063,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2003-01-01,35608,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2004-01-01,37002,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2005-01-01,38674,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2006-01-01,40363,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2007-01-01,41100,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2008-01-01,40087,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2009-01-01,38377,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2010-01-01,38776,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2011-01-01,41187,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2012-01-01,42010,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2013-01-01,42224,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2014-01-01,45092,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2015-01-01,47194,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2016-01-01,48657,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2017-01-01,51050,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2018-01-01,53354,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2019-01-01,55668,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2020-01-01,58773,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1969-01-01,4958,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1970-01-01,5290,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1971-01-01,5617,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1972-01-01,6039,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1973-01-01,6480,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1974-01-01,7020,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1975-01-01,7599,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1976-01-01,8112,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1977-01-01,8850,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1978-01-01,9757,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1979-01-01,10724,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1980-01-01,12015,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1981-01-01,13426,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1982-01-01,14544,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1983-01-01,15629,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1984-01-01,17216,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1985-01-01,18376,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1986-01-01,19590,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1987-01-01,21015,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1988-01-01,23146,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1989-01-01,24914,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1990-01-01,26612,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1991-01-01,26426,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1992-01-01,27894,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1993-01-01,28532,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1994-01-01,29273,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1995-01-01,30869,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1996-01-01,32507,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1997-01-01,34296,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1998-01-01,36209,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1999-01-01,37968,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2000-01-01,41042,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2001-01-01,42343,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2002-01-01,42013,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2003-01-01,42401,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2004-01-01,44354,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
